ra,ano,fase,turma,nome,idade,genero,ano_ingresso,instituicao,pedra,inde,iaa,ieg,ips,ipp,ida,nota_matematica,nota_portugues,nota_ingles,indicado_bolsa,atingiu_pv,ipv,ian,fase_ideal,defasagem,fase_num,fase_ideal_num,pedra_padrao,instituicao_padrao,iaa_original,ipv_original,defasagem_original,defasagem_calculada,genero_inconsistente,ano_ingresso_inconsistente,idade_inconsistente
RA-32,2022,6,A,Aluno-32,16,Feminino,2018,Rede Decisão,Ametista,7.37,8.8,5.2,8.8,,6.1,5.7,3.6,8.9,Não,Não,7.944,10.0,Fase 6 (2º EM),0,6,6,Ametista,Rede Decisão,8.8,7.944,0,0,False,False,False
RA-33,2022,6,A,Aluno-33,17,Feminino,2020,Pública,Quartzo,4.952,0.0,4.6,7.5,,4.8,9.0,1.6,3.7,Não,Não,6.0,5.0,Fase 7 (3º EM),-1,6,7,Quartzo,Pública,0.0,6.0,-1,-1,False,False,False
RA-34,2022,6,A,Aluno-34,17,Masculino,2016,Rede Decisão,Ágata,6.259,9.6,4.8,8.1,,3.8,4.7,4.0,2.8,Não,Não,7.278,5.0,Fase 7 (3º EM),-1,6,7,Ágata,Rede Decisão,9.6,7.278,-1,-1,False,False,False
RA-35,2022,6,A,Aluno-35,17,Feminino,2019,Rede Decisão,Topázio,8.965,10.0,9.6,9.4,,8.5,9.0,7.1,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,6,7,Topázio,Rede Decisão,10.0,10.0,-1,-1,False,True,False
RA-36,2022,6,A,Aluno-36,17,Feminino,2019,Rede Decisão,Ametista,7.876,9.2,9.0,6.9,,6.8,8.5,4.3,7.8,Não,Sim,8.944,5.0,Fase 7 (3º EM),-1,6,7,Ametista,Rede Decisão,9.2,8.944,-1,-1,False,True,False
RA-37,2022,6,A,Aluno-37,17,Feminino,2019,Rede Decisão,Quartzo,4.95,0.0,5.4,5.0,,5.9,2.3,5.3,10.0,Não,Não,5.222,5.0,Fase 7 (3º EM),-1,6,7,Quartzo,Rede Decisão,0.0,5.222,-1,-1,False,False,False
RA-38,2022,6,A,Aluno-38,17,Feminino,2017,Rede Decisão,Topázio,8.523,9.2,8.9,7.5,,8.6,9.0,7.0,9.7,Não,Sim,9.833,5.0,Fase 7 (3º EM),-1,6,7,Topázio,Rede Decisão,9.2,9.833,-1,-1,False,True,False
RA-39,2022,6,A,Aluno-39,16,Feminino,2017,Rede Decisão,Ágata,6.033,0.0,4.8,6.9,,6.9,7.7,5.1,7.8,Não,Não,6.111,10.0,Fase 6 (2º EM),0,6,6,Ágata,Rede Decisão,0.0,6.111,0,0,False,True,False
RA-40,2022,5,A,Aluno-40,16,Feminino,2016,Rede Decisão,Ametista,7.203,7.9,7.8,7.5,,6.8,4.7,7.3,8.4,Não,Não,7.75,5.0,Fase 6 (2º EM),-1,5,6,Ametista,Rede Decisão,7.9,7.75,-1,-1,False,True,False
RA-41,2022,5,A,Aluno-41,17,Masculino,2018,Pública,Quartzo,5.581,9.2,6.1,5.0,,5.6,6.3,2.5,8.0,Não,Não,4.375,5.0,Fase 7 (3º EM),-2,5,7,Quartzo,Pública,9.2,4.375,-2,-2,False,False,False
RA-42,2022,5,A,Aluno-42,15,Masculino,2019,Rede Decisão,Ágata,6.72,8.3,7.9,5.6,,4.8,3.7,4.5,6.2,Não,Não,6.083,10.0,Fase 5 (1º EM),0,5,5,Ágata,Rede Decisão,8.3,6.083,0,0,False,True,False
RA-43,2022,5,A,Aluno-43,16,Feminino,2019,Pública,Quartzo,5.486,6.3,6.5,5.6,,4.3,4.0,5.8,3.2,Não,Não,5.958,5.0,Fase 6 (2º EM),-1,5,6,Quartzo,Pública,6.3,5.958,-1,-1,False,False,False
RA-44,2022,5,A,Aluno-44,17,Feminino,2021,Pública,Quartzo,5.542,5.0,5.9,7.5,,3.0,2.3,3.5,3.2,Sim,Não,7.292,5.0,Fase 7 (3º EM),-2,5,7,Quartzo,Pública,5.0,7.292,-2,-2,False,False,False
RA-45,2022,5,A,Aluno-45,15,Feminino,2019,Rede Decisão,Ametista,7.591,7.9,8.9,5.6,,6.8,6.3,5.2,8.8,Não,Não,7.417,10.0,Fase 5 (1º EM),0,5,5,Ametista,Rede Decisão,7.9,7.417,0,0,False,True,False
RA-46,2022,5,A,Aluno-46,17,Feminino,2022,Pública,Ágata,6.048,8.8,8.4,6.3,,2.1,2.8,2.8,0.7,Não,Não,7.083,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Pública,8.8,7.083,-2,-2,False,False,False
RA-47,2022,5,A,Aluno-47,17,Feminino,2022,Pública,Quartzo,5.677,7.9,6.3,7.5,,2.1,2.5,2.2,1.5,Não,Não,7.042,5.0,Fase 7 (3º EM),-2,5,7,Quartzo,Pública,7.9,7.042,-2,-2,False,False,False
RA-48,2022,5,A,Aluno-48,15,Feminino,2017,Rede Decisão,Ametista,8.006,6.7,8.4,7.5,,8.1,6.7,8.0,9.5,Não,Sim,8.5,10.0,Fase 5 (1º EM),0,5,5,Ametista,Rede Decisão,6.7,8.5,0,0,False,True,False
RA-49,2022,5,A,Aluno-49,17,Feminino,2022,Pública,Ágata,6.304,7.5,7.4,7.5,,3.9,1.5,4.2,6.2,Não,Não,7.042,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Pública,7.5,7.042,-2,-2,False,False,False
RA-50,2022,5,A,Aluno-50,18,Feminino,2022,Pública,Ametista,7.138,7.5,8.4,7.5,,7.8,6.5,7.3,9.7,Não,Não,7.542,2.5,Fase 8 (Universitários),-3,5,8,Ametista,Pública,7.5,7.542,-3,-3,False,False,False
RA-51,2022,5,B,Aluno-51,17,Feminino,2022,Pública,Ágata,6.488,8.8,7.6,7.5,,5.0,4.5,4.5,6.0,Não,Não,6.5,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Pública,8.8,6.5,-2,-2,False,False,False
RA-52,2022,5,B,Aluno-52,13,Masculino,2018,Rede Decisão,Ametista,7.861,9.6,8.9,7.5,,6.2,3.3,6.3,8.8,Não,Não,7.5,10.0,Fase 3 (7º e 8º ano),2,5,3,Ametista,Rede Decisão,9.6,7.5,2,2,False,True,False
RA-53,2022,5,B,Aluno-53,17,Masculino,2022,Pública,Ágata,6.725,9.2,7.0,7.5,,7.0,6.0,8.0,,Não,Não,6.458,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Pública,9.2,6.458,-2,-2,False,False,False
RA-54,2022,5,B,Aluno-54,16,Feminino,2022,Pública,Ágata,6.058,7.9,6.9,7.5,,4.8,3.0,6.5,,Não,Não,6.125,5.0,Fase 6 (2º EM),-1,5,6,Ágata,Pública,7.9,6.125,-1,-1,False,False,False
RA-55,2022,5,B,Aluno-55,16,Feminino,2017,Pública,Ágata,6.576,7.1,7.6,5.6,,7.5,6.7,7.8,7.9,Não,Não,6.5,5.0,Fase 6 (2º EM),-1,5,6,Ágata,Pública,7.1,6.5,-1,-1,False,False,False
RA-56,2022,5,B,Aluno-56,15,Feminino,2019,Rede Decisão,Topázio,8.404,10.0,10.0,7.5,,7.0,4.5,6.5,10.0,Não,Não,8.25,10.0,Fase 5 (1º EM),0,5,5,Topázio,Rede Decisão,10.0,8.25,0,0,False,True,False
RA-57,2022,5,B,Aluno-57,16,Masculino,2017,Rede Decisão,Ametista,7.305,7.1,8.1,5.6,,8.4,9.0,7.0,9.3,Não,Não,7.875,5.0,Fase 6 (2º EM),-1,5,6,Ametista,Rede Decisão,7.1,7.875,-1,-1,False,True,False
RA-58,2022,5,B,Aluno-58,15,Masculino,2017,Rede Decisão,Topázio,8.136,9.6,9.2,6.3,,7.2,4.5,8.0,9.0,Não,Não,8.125,10.0,Fase 5 (1º EM),0,5,5,Topázio,Rede Decisão,9.6,8.125,0,0,False,True,False
RA-59,2022,5,B,Aluno-59,17,Masculino,2022,Pública,Ametista,7.642,9.2,9.3,7.5,,7.2,7.0,5.7,8.8,Não,Não,7.917,5.0,Fase 7 (3º EM),-2,5,7,Ametista,Pública,9.2,7.917,-2,-2,False,False,False
RA-60,2022,5,B,Aluno-60,18,Feminino,2021,Pública,Quartzo,5.537,6.7,6.0,7.5,,4.9,5.0,6.2,3.5,Não,Não,6.167,2.5,Fase 8 (Universitários),-3,5,8,Quartzo,Pública,6.7,6.167,-3,-3,False,False,False
RA-61,2022,5,B,Aluno-61,15,Masculino,2021,Pública,Ametista,7.533,9.2,7.4,7.5,,5.8,1.7,6.3,9.3,Sim,Não,7.875,10.0,Fase 5 (1º EM),0,5,5,Ametista,Pública,9.2,7.875,0,0,False,False,False
RA-62,2022,5,B,Aluno-62,17,Masculino,2022,Pública,Ametista,7.891,8.8,9.4,7.5,,9.3,8.5,10.0,,Sim,Não,7.25,5.0,Fase 7 (3º EM),-2,5,7,Ametista,Pública,8.8,7.25,-2,-2,True,False,False
RA-63,2022,5,B,Aluno-63,16,Masculino,2018,Rede Decisão,Topázio,8.282,8.3,9.1,8.8,,8.7,8.2,8.2,9.7,Não,Sim,9.417,5.0,Fase 6 (2º EM),-1,5,6,Topázio,Rede Decisão,8.3,9.417,-1,-1,False,False,False
RA-64,2022,5,B,Aluno-64,16,Masculino,2019,Pública,Ametista,7.368,7.1,8.1,8.1,,7.5,4.8,8.2,9.4,Sim,Não,8.25,5.0,Fase 6 (2º EM),-1,5,6,Ametista,Pública,7.1,8.25,-1,-1,True,True,False
RA-65,2022,5,B,Aluno-65,17,Feminino,2022,Pública,Ametista,7.712,8.3,7.7,7.5,,9.3,9.0,9.5,9.5,Sim,Não,7.875,5.0,Fase 7 (3º EM),-2,5,7,Ametista,Pública,8.3,7.875,-2,-2,False,False,False
RA-66,2022,5,B,Aluno-66,17,Feminino,2022,Pública,Quartzo,5.665,7.5,5.6,7.5,,4.5,3.0,6.0,,Não,Não,5.917,5.0,Fase 7 (3º EM),-2,5,7,Quartzo,Pública,7.5,5.917,-2,-2,False,False,False
RA-67,2022,5,C,Aluno-67,16,Feminino,2019,Pública,Quartzo,5.195,5.8,3.0,7.5,,3.6,3.0,4.2,3.5,Não,Não,6.889,5.0,Fase 6 (2º EM),-1,5,6,Quartzo,Pública,5.8,6.889,-1,-1,False,False,False
RA-68,2022,5,C,Aluno-68,16,Masculino,2019,Pública,Ágata,6.438,8.3,6.0,7.5,,4.0,4.7,4.8,2.7,Sim,Não,7.944,5.0,Fase 6 (2º EM),-1,5,6,Ágata,Pública,8.3,7.944,-1,-1,False,False,False
RA-69,2022,5,C,Aluno-69,16,Masculino,2018,Pública,Quartzo,5.718,8.3,6.1,7.5,,2.5,4.7,2.6,0.3,Não,Não,6.167,5.0,Fase 6 (2º EM),-1,5,6,Quartzo,Pública,8.3,6.167,-1,-1,False,False,False
RA-70,2022,5,C,Aluno-70,16,Feminino,2017,Pública,Quartzo,5.712,8.8,6.6,5.0,,2.9,5.7,2.9,0.2,Não,Não,6.111,5.0,Fase 6 (2º EM),-1,5,6,Quartzo,Pública,8.8,6.111,-1,-1,False,False,False
RA-71,2022,5,C,Aluno-71,17,Feminino,2019,Pública,Quartzo,4.332,7.9,2.0,7.5,,1.2,1.3,2.2,0.0,Não,Não,5.833,5.0,Fase 7 (3º EM),-2,5,7,Quartzo,Pública,7.9,5.833,-2,-2,False,False,False
RA-72,2022,5,C,Aluno-72,17,Feminino,2022,Pública,Ametista,7.64,8.3,7.5,7.5,,7.8,7.5,7.8,8.0,Sim,Sim,8.667,5.0,Fase 7 (3º EM),-2,5,7,Ametista,Pública,8.3,8.667,-2,-2,False,False,False
RA-73,2022,5,C,Aluno-73,17,Feminino,2022,Pública,Quartzo,5.271,7.1,3.0,7.5,,3.3,4.5,3.0,2.3,Sim,Não,7.278,5.0,Fase 7 (3º EM),-2,5,7,Quartzo,Pública,7.1,7.278,-2,-2,False,False,False
RA-74,2022,5,C,Aluno-74,16,Masculino,2022,Pública,Quartzo,4.989,9.6,3.3,7.5,,2.0,6.0,0.0,0.0,Não,Não,5.833,5.0,Fase 6 (2º EM),-1,5,6,Quartzo,Pública,9.6,5.833,-1,-1,False,False,False
RA-75,2022,5,F,Aluno-75,16,Feminino,2022,Pública,Quartzo,3.915,5.4,3.8,6.3,,0.0,0.0,0.0,,Não,Não,4.625,5.0,Fase 6 (2º EM),-1,5,6,Quartzo,Pública,5.4,4.625,-1,-1,False,False,False
RA-76,2022,5,F,Aluno-76,15,Feminino,2017,Rede Decisão,Topázio,9.105,10.0,9.1,8.1,,8.7,9.3,8.3,8.4,Não,Sim,9.292,10.0,Fase 5 (1º EM),0,5,5,Topázio,Rede Decisão,10.0,9.292,0,0,False,True,False
RA-77,2022,5,F,Aluno-77,16,Masculino,2019,Pública,Quartzo,3.846,7.1,2.7,5.0,,0.7,0.3,1.8,0.0,Não,Não,4.625,5.0,Fase 6 (2º EM),-1,5,6,Quartzo,Pública,7.1,4.625,-1,-1,False,False,False
RA-78,2022,5,F,Aluno-78,17,Masculino,2018,Rede Decisão,Ametista,7.04,8.3,6.6,5.6,,7.2,8.7,5.7,7.3,Não,Não,8.0,5.0,Fase 7 (3º EM),-2,5,7,Ametista,Rede Decisão,8.3,8.0,-2,-2,True,True,False
RA-79,2022,5,F,Aluno-79,16,Feminino,2018,Rede Decisão,Ágata,6.847,5.4,6.3,5.6,,8.9,9.5,7.7,9.5,Não,Não,7.292,5.0,Fase 6 (2º EM),-1,5,6,Ágata,Rede Decisão,5.4,7.292,-1,-1,False,False,False
RA-80,2022,5,K,Aluno-80,16,Feminino,2017,Rede Decisão,Ametista,7.29,9.2,8.3,5.0,,7.1,6.5,7.7,7.3,Não,Não,7.625,5.0,Fase 6 (2º EM),-1,5,6,Ametista,Rede Decisão,9.2,7.625,-1,-1,False,True,False
RA-81,2022,5,K,Aluno-81,14,Feminino,2017,Rede Decisão,Ametista,7.675,9.2,9.2,5.0,,6.0,5.5,5.2,7.3,Não,Não,7.458,10.0,Fase 4 (9º ano),1,5,4,Ametista,Rede Decisão,9.2,7.458,1,1,False,True,False
RA-82,2022,5,K,Aluno-82,17,Feminino,2022,Pública,Ágata,6.596,8.8,6.8,7.5,,5.5,6.0,5.0,,Sim,Não,6.417,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Pública,8.8,6.417,-2,-2,False,False,False
RA-83,2022,5,K,Aluno-83,17,Feminino,2022,Pública,Ágata,6.671,7.9,6.8,7.5,,6.8,6.0,7.5,,Sim,Não,5.958,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Pública,7.9,5.958,-2,-2,False,False,False
RA-84,2022,5,K,Aluno-84,17,Feminino,2018,Rede Decisão,Ágata,6.682,7.1,8.8,5.0,,5.8,5.7,6.5,5.2,Não,Não,6.75,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Rede Decisão,7.1,6.75,-2,-2,False,False,False
RA-85,2022,5,K,Aluno-85,15,Masculino,2022,Pública,Ágata,6.243,6.7,7.3,5.0,,4.3,5.0,3.5,,Não,Não,5.833,10.0,Fase 5 (1º EM),0,5,5,Ágata,Pública,6.7,5.833,0,0,False,False,False
RA-86,2022,5,K,Aluno-86,16,Masculino,2016,Rede Decisão,Ametista,7.566,7.5,9.6,5.6,,6.7,6.2,7.2,6.9,Não,Sim,8.458,5.0,Fase 6 (2º EM),-1,5,6,Ametista,Rede Decisão,7.5,8.458,-1,-1,False,True,False
RA-87,2022,5,K,Aluno-87,15,Masculino,2021,Rede Decisão,Topázio,8.712,8.3,9.6,7.5,,8.8,8.3,8.0,10.0,Não,Sim,8.5,10.0,Fase 5 (1º EM),0,5,5,Topázio,Rede Decisão,8.3,8.5,0,0,False,False,False
RA-88,2022,5,K,Aluno-88,17,Masculino,2021,Pública,Ametista,7.498,7.1,9.2,5.6,,6.5,6.8,6.2,6.4,Sim,Sim,9.208,5.0,Fase 7 (3º EM),-2,5,7,Ametista,Pública,7.1,9.208,-2,-2,False,False,False
RA-89,2022,5,K,Aluno-89,16,Masculino,2021,Pública,Ametista,7.323,9.6,7.8,7.5,,5.9,7.5,5.7,4.7,Sim,Não,8.0,5.0,Fase 6 (2º EM),-1,5,6,Ametista,Pública,9.6,8.0,-1,-1,False,False,False
RA-90,2022,5,L,Aluno-90,13,Feminino,2019,Rede Decisão,Topázio,9.442,10.0,9.7,9.4,,8.5,7.7,8.0,9.8,Não,Sim,9.75,10.0,Fase 3 (7º e 8º ano),2,5,3,Topázio,Rede Decisão,10.0,9.75,2,2,False,True,False
RA-91,2022,5,L,Aluno-91,16,Feminino,2016,Rede Decisão,Ágata,6.645,9.2,5.7,5.6,,6.6,5.5,5.7,8.5,Não,Não,7.125,5.0,Fase 6 (2º EM),-1,5,6,Ágata,Rede Decisão,9.2,7.125,-1,-1,False,True,False
RA-92,2022,5,L,Aluno-92,16,Feminino,2016,Rede Decisão,Ágata,6.957,9.2,7.1,5.0,,7.4,7.8,5.5,8.8,Não,Não,6.667,5.0,Fase 6 (2º EM),-1,5,6,Ágata,Rede Decisão,9.2,6.667,-1,-1,False,True,False
RA-93,2022,5,L,Aluno-93,15,Feminino,2016,Rede Decisão,Topázio,8.941,8.3,9.7,8.1,,8.5,8.8,8.3,8.4,Não,Sim,9.083,10.0,Fase 5 (1º EM),0,5,5,Topázio,Rede Decisão,8.3,9.083,0,0,False,True,False
RA-94,2022,5,L,Aluno-94,15,Feminino,2018,Rede Decisão,Topázio,8.921,8.3,9.6,8.1,,7.7,7.0,6.7,9.5,Não,Sim,9.583,10.0,Fase 5 (1º EM),0,5,5,Topázio,Rede Decisão,8.3,9.583,0,0,False,True,False
RA-95,2022,5,L,Aluno-95,17,Feminino,2022,Pública,Ágata,6.308,8.3,6.6,7.5,,4.8,6.0,8.0,0.5,Não,Não,6.292,5.0,Fase 7 (3º EM),-2,5,7,Ágata,Pública,8.3,6.292,-2,-2,False,False,False
RA-96,2022,5,L,Aluno-96,16,Masculino,2021,Pública,Ametista,7.54,9.2,7.8,6.9,,6.7,5.7,6.5,8.0,Sim,Sim,8.5,5.0,Fase 6 (2º EM),-1,5,6,Ametista,Pública,9.2,8.5,-1,-1,False,False,False
RA-97,2022,5,L,Aluno-97,15,Feminino,2017,Rede Decisão,Ametista,7.468,7.5,8.8,5.0,,6.9,5.3,6.7,8.8,Não,Não,6.292,10.0,Fase 5 (1º EM),0,5,5,Ametista,Rede Decisão,7.5,6.292,0,0,False,False,False
RA-98,2022,5,L,Aluno-98,15,Feminino,2017,Rede Decisão,Topázio,9.354,8.8,10.0,9.4,,8.5,8.4,8.2,8.9,Não,Sim,9.667,10.0,Fase 5 (1º EM),0,5,5,Topázio,Rede Decisão,8.8,9.667,0,0,False,True,False
RA-99,2022,5,L,Aluno-99,16,Masculino,2019,Pública,Ágata,6.158,8.8,6.3,7.5,,5.0,5.7,3.4,5.8,Não,Não,5.833,5.0,Fase 6 (2º EM),-1,5,6,Ágata,Pública,8.8,5.833,-1,-1,False,False,False
